"Year","Team","Conference","Rating","Ranking","SecondOrderWins","Sos","Offense Ranking","Offense Rating","Offense Success","Offense Explosiveness","Offense Rushing","Offense Passing","Offense StandardDowns","Offense PassingDowns","Offense RunRate","Offense Pace","Defense Ranking","Defense Rating","Defense Success","Defense Explosiveness","Defense Rushing","Defense Passing","Defense StandardDowns","Defense PassingDowns","Defense Havoc Total","Defense Havoc FrontSeven","Defense Havoc Db","SpecialTeams Rating"
"2021","Georgia","SEC","32","1","","","2","41.4","","","","","","","","","1","10.3","","","","","","","","","",""
"2021","Ohio State","Big Ten","29.3","2","","","1","47.2","","","","","","","","","20","20.6","","","","","","","","","",""
"2021","Alabama","SEC","26","3","","","4","40.9","","","","","","","","","9","15.6","","","","","","","","","",""
"2021","Michigan","Big Ten","23.4","4","","","19","36.5","","","","","","","","","10","15.8","","","","","","","","","",""
"2021","Cincinnati","Big 12","21.2","5","","","13","37.5","","","","","","","","","11","15.9","","","","","","","","","",""
"2021","Texas A&M","SEC","21.1","6","","","35","33.6","","","","","","","","","7","14.9","","","","","","","","","",""
"2021","Wisconsin","Big Ten","20.1","7","","","58","29.8","","","","","","","","","2","10.8","","","","","","","","","",""
"2021","Clemson","ACC","18.7","8","","","71","28.3","","","","","","","","","3","11.6","","","","","","","","","",""
"2021","Pittsburgh","ACC","17.6","9","","","9","38.2","","","","","","","","","29","21.4","","","","","","","","","",""
"2021","Tennessee","SEC","17.5","10","","","7","39.4","","","","","","","","","47","23.8","","","","","","","","","",""
"2021","Notre Dame","FBS Independents","17.4","11","","","20","36.2","","","","","","","","","15","18.9","","","","","","","","","",""
"2021","Oklahoma State","Big 12","17.2","12","","","53","30.6","","","","","","","","","4","14.3","","","","","","","","","",""
"2021","Oklahoma","SEC","16.8","13","","","3","41.1","","","","","","","","","57","25.6","","","","","","","","","",""
"2021","NC State","ACC","16.1","14","","","39","33.1","","","","","","","","","14","17.7","","","","","","","","","",""
"2021","Baylor","Big 12","15.6","15","","","39","33.1","","","","","","","","","12","17.1","","","","","","","","","",""
"2021","Utah","Big 12","15.2","16","","","14","37.2","","","","","","","","","21","20.7","","","","","","","","","",""
"2021","Ole Miss","SEC","14.8","17","","","17","36.8","","","","","","","","","36","22.4","","","","","","","","","",""
"2021","Minnesota","Big Ten","14.4","18","","","63","29.3","","","","","","","","","8","15.4","","","","","","","","","",""
"2021","Iowa State","Big 12","14.3","19","","","34","33.8","","","","","","","","","19","20.2","","","","","","","","","",""
"2021","Penn State","Big Ten","14.3","19","","","72","28","","","","","","","","","6","14.6","","","","","","","","","",""
"2021","Kansas State","Big 12","14.2","21","","","36","33.5","","","","","","","","","16","19","","","","","","","","","",""
"2021","Arkansas","SEC","13.8","22","","","31","34.3","","","","","","","","","27","21.3","","","","","","","","","",""
"2021","Kentucky","SEC","13.4","23","","","21","35.1","","","","","","","","","35","22.3","","","","","","","","","",""
"2021","Western Kentucky","Conference USA","13.3","24","","","5","40.5","","","","","","","","","90","28.8","","","","","","","","","",""
"2021","Coastal Carolina","Sun Belt","13.2","25","","","6","39.5","","","","","","","","","62","26.1","","","","","","","","","",""
"2021","Arizona State","Big 12","11.8","26","","","36","33.5","","","","","","","","","24","20.9","","","","","","","","","",""
"2021","Iowa","Big Ten","11.4","27","","","93","23.6","","","","","","","","","5","14.4","","","","","","","","","",""
"2021","Michigan State","Big Ten","11.2","28","","","31","34.3","","","","","","","","","30","21.7","","","","","","","","","",""
"2021","Auburn","SEC","11","29","","","56","30.2","","","","","","","","","17","19.8","","","","","","","","","",""
"2021","Florida","SEC","11","29","","","22","35","","","","","","","","","39","23.2","","","","","","","","","",""
"2021","Houston","Big 12","10.9","31","","","51","31.5","","","","","","","","","18","20","","","","","","","","","",""
"2021","Fresno State","Mountain West","10.8","32","","","27","34.7","","","","","","","","","49","24.2","","","","","","","","","",""
"2021","Miami","ACC","10.8","32","","","25","34.8","","","","","","","","","51","25","","","","","","","","","",""
"2021","Mississippi State","SEC","10.5","34","","","28","34.6","","","","","","","","","33","22","","","","","","","","","",""
