"Year","School","Talent"
"2020","Georgia","990.47"
"2020","Alabama","985.86"
"2020","Ohio State","976.48"
"2020","Clemson","915.57"
"2020","Texas","892.91"
"2020","Texas A&M","875.10"
"2020","LSU","873.23"
"2020","Oklahoma","866.36"
"2020","Notre Dame","866.21"
"2020","USC","853.16"
"2020","Penn State","850.70"
"2020","Auburn","844.78"
"2020","Tennessee","844.16"
"2020","Michigan","832.65"
"2020","Florida State","832.59"
"2020","Miami","822.41"
"2020","Oregon","816.74"
"2020","Washington","815.23"
"2020","Florida","809.32"
"2020","Stanford","801.60"
"2020","South Carolina","771.64"
"2020","Arizona State","743.24"
"2020","North Carolina","740.19"
"2020","Mississippi State","739.30"
"2020","Nebraska","733.39"
"2020","Arkansas","719.15"
"2020","Kentucky","716.65"
"2020","TCU","712.31"
"2020","Ole Miss","702.20"
"2020","Georgia Tech","684.42"
"2020","NC State","680.31"
"2020","Wisconsin","676.48"
"2020","Michigan State","673.43"
"2020","Virginia Tech","670.70"
"2020","UCLA","660.71"
"2020","Pittsburgh","653.05"
"2020","Utah","649.86"
"2020","Maryland","646.29"
"2020","Illinois","644.09"
"2020","Purdue","644.03"
"2020","Baylor","642.13"
"2020","Oklahoma State","639.23"
"2020","Iowa","631.81"
"2020","West Virginia","631.27"
"2020","Colorado","630.39"
"2020","Northwestern","629.84"
"2020","Missouri","627.24"
"2020","Louisville","621.82"
"2020","Texas Tech","619.60"
"2020","Duke","617.12"
"2020","Oregon State","616.25"
"2020","Indiana","611.17"
"2020","Houston","608.28"
"2020","Vanderbilt","607.68"
"2020","SMU","604.59"
"2020","Iowa State","602.96"
"2020","Boston College","602.69"
"2020","Cincinnati","600.61"
"2020","California","599.17"
"2020","Minnesota","594.70"
"2020","UCF","593.07"
"2020","Rutgers","588.56"
"2020","Virginia","588.54"
"2020","Memphis","587.17"
"2020","Syracuse","578.28"
"2020","Wake Forest","577.30"
"2020","Boise State","571.21"
"2020","Kansas State","560.96"
"2020","Kansas","546.08"
"2020","South Florida","538.18"
"2020","East Carolina","528.47"
"2020","Arizona","526.23"
"2020","Tulane","526.19"
"2020","Washington State","516.96"
"2020","BYU","510.95"
"2020","Florida Atlantic","488.99"
"2020","Temple","482.14"
"2020","Florida International","480.50"
"2020","Tulsa","470.03"
"2020","Louisiana Tech","467.46"
"2020","Charlotte","462.29"
"2020","UTSA","458.03"
"2020","San Diego State","454.60"
"2020","Western Kentucky","447.91"
"2020","UNLV","447.31"
"2020","Colorado State","446.94"
"2020","Fresno State","440.10"
"2020","North Texas","415.68"
"2020","Marshall","408.98"
"2020","Middle Tennessee","405.40"
"2020","Southern Miss","401.05"
"2020","Nevada","400.84"
"2020","Utah State","400.78"
"2020","San José State","397.99"
"2020","Hawai'i","393.56"
"2020","Toledo","391.54"
"2020","Arkansas State","389.49"
"2020","UAB","383.56"
"2020","Western Michigan","382.78"
"2020","Texas State","382.60"
"2020","App State","382.58"
"2020","Louisiana","378.95"
"2020","Rice","358.95"
"2020","Wyoming","352.91"
"2020","Old Dominion","350.91"
"2020","Central Michigan","350.35"
"2020","UConn","347.50"
"2020","New Mexico","340.16"
"2020","Georgia Southern","335.43"
"2020","Georgia State","333.22"
"2020","Troy","323.67"
"2020","Ohio","304.79"
"2020","UTEP","297.36"
"2020","UL Monroe","286.74"
"2020","Kent State","270.29"
"2020","Navy","266.19"
"2020","South Alabama","265.69"
"2020","Northern Illinois","262.67"
"2020","Miami (OH)","259.14"
"2020","Ball State","257.94"
"2020","Buffalo","252.86"
"2020","Massachusetts","246.83"
"2020","Eastern Michigan","246.82"
"2020","Akron","232.81"
"2020","Bowling Green","215.06"
"2020","Coastal Carolina","213.39"
"2020","Liberty","158.93"
"2020","Army","152.03"
"2020","Chattanooga","150.93"
"2020","Austin Peay","149.28"
"2020","Eastern Kentucky","148.05"
"2020","Texas Southern","143.43"
"2020","New Mexico State","143.36"
"2020","Towson","142.39"
"2020","Alabama State","136.54"
"2020","James Madison","118.89"
"2020","North Carolina A&T","116.79"
"2020","Florida A&M","102.58"
"2020","Stephen F. Austin","99.93"
"2020","Southern Illinois","96.82"
"2020","Grambling","95.67"
"2020","Campbell","93.73"
"2020","Prairie View A&M","91.02"
"2020","Missouri State","85.24"
"2020","Incarnate Word","81.78"
"2020","Sam Houston","81.65"
"2020","Tennessee State","80.11"
"2020","Abilene Christian","79.83"
"2020","Bethune-Cookman","76.68"
"2020","Montana State","76.41"
"2020","UT Martin","72.15"
"2020","Maine","72.07"
"2020","Air Force","71.92"
"2020","Samford","70.54"
"2020","Stony Brook","68.32"
"2020","Illinois State","67.52"
"2020","Weber State","66.96"
"2020","North Dakota State","61.62"
"2020","East Tennessee State","60.39"
"2020","SE Louisiana","58.98"
"2020","Elon","55.95"
"2020","Portland State","55.65"
"2020","Montana","53.39"
"2020","Western Illinois","53.01"
"2020","Norfolk State","52.48"
"2020","Alabama A&M","52.37"
"2020","UC Davis","50.80"
"2020","Richmond","49.75"
"2020","Idaho","47.38"
"2020","North Alabama","46.88"
"2020","Murray State","44.74"
"2020","North Carolina Central","43.62"
"2020","Duquesne","42.21"
"2020","Northern Arizona","41.84"
"2020","Southeast Missouri State","41.44"
"2020","Youngstown State","35.85"
"2020","Hampton","33.45"
"2020","Idaho State","32.78"
"2020","South Carolina State","32.50"
"2020","Northern Colorado","31.63"
"2020","Northern Iowa","30.66"
"2020","UAlbany","30.44"
"2020","Eastern Washington","30.41"
"2020","Furman","30.39"
"2020","Sacramento State","30.24"
"2020","Delaware","29.77"
"2020","Alcorn State","29.54"
"2020","Monmouth","28.91"
"2020","Rhode Island","28.50"
"2020","Gardner-Webb","28.16"
"2020","Robert Morris","26.82"
"2020","Houston Christian","26.80"
"2020","South Dakota","26.27"
"2020","Mercer","25.92"
"2020","Eastern Illinois","25.80"
"2020","Tennessee Tech","25.67"
"2020","Cal Poly","25.44"
"2020","Central Arkansas","24.08"
"2020","The Citadel","23.94"
"2020","Northwestern State","23.16"
"2020","Fordham","22.86"
"2020","Southern","22.17"
"2020","Indiana State","22.02"
"2020","Wagner","20.43"
"2020","Jacksonville","17.49"
"2020","Kennesaw State","16.24"
"2020","Arkansas-Pine Bluff","15.35"
"2020","Sacred Heart","14.46"
"2020","Lamar","13.33"
"2020","Western Carolina","12.53"
"2020","William & Mary","12.39"
"2020","Brown","9.44"
"2020","Central Connecticut","8.93"
"2020","St. Francis (PA)","8.83"
"2020","Wofford","7.83"
"2020","New Hampshire","7.81"
"2020","Yale","7.81"
"2020","Bryant","6.30"
"2020","Morgan State","3.80"
