"Year","Team","Conference","Rating","Ranking","SecondOrderWins","Sos","Offense Ranking","Offense Rating","Offense Success","Offense Explosiveness","Offense Rushing","Offense Passing","Offense StandardDowns","Offense PassingDowns","Offense RunRate","Offense Pace","Defense Ranking","Defense Rating","Defense Success","Defense Explosiveness","Defense Rushing","Defense Passing","Defense StandardDowns","Defense PassingDowns","Defense Havoc Total","Defense Havoc FrontSeven","Defense Havoc Db","SpecialTeams Rating"
"2020","Ohio State","Big Ten","28.4","1","","","2","45.3","","","","","","","","","7","16.7","","","","","","","","","",""
"2020","Alabama","SEC","28.3","2","","","1","46.8","","","","","","","","","12","18.6","","","","","","","","","",""
"2020","Wisconsin","Big Ten","26.5","3","","","9","38.7","","","","","","","","","2","12.2","","","","","","","","","",""
"2020","Clemson","ACC","26.1","4","","","6","42.6","","","","","","","","","7","16.7","","","","","","","","","",""
"2020","Notre Dame","FBS Independents","21","5","","","10","38.3","","","","","","","","","11","17.3","","","","","","","","","",""
"2020","Florida","SEC","19.8","6","","","4","43.3","","","","","","","","","34","23.9","","","","","","","","","",""
"2020","BYU","Big 12","19.2","7","","","8","39.2","","","","","","","","","20","20.3","","","","","","","","","",""
"2020","Georgia","SEC","19.1","8","","","44","30.8","","","","","","","","","1","12.1","","","","","","","","","",""
"2020","Cincinnati","Big 12","18.6","9","","","24","34.5","","","","","","","","","6","15.9","","","","","","","","","",""
"2020","Oregon","Big Ten","18.1","10","","","20","35.1","","","","","","","","","10","16.9","","","","","","","","","",""
"2020","North Carolina","ACC","18","11","","","3","43.7","","","","","","","","","47","25.6","","","","","","","","","",""
"2020","Oklahoma","SEC","17.8","12","","","5","43","","","","","","","","","42","25.2","","","","","","","","","",""
"2020","Iowa","Big Ten","16.3","13","","","55","29.7","","","","","","","","","3","13.5","","","","","","","","","",""
"2020","Texas A&M","SEC","16.2","14","","","15","37.7","","","","","","","","","25","21.5","","","","","","","","","",""
"2020","Oklahoma State","Big 12","14.2","15","","","45","30.7","","","","","","","","","7","16.7","","","","","","","","","",""
"2020","Penn State","Big Ten","13.9","16","","","21","35","","","","","","","","","23","21","","","","","","","","","",""
"2020","Virginia Tech","ACC","13.7","17","","","12","38","","","","","","","","","38","24.4","","","","","","","","","",""
"2020","UCF","Big 12","13.6","18","","","7","39.4","","","","","","","","","51","25.7","","","","","","","","","",""
"2020","Iowa State","Big 12","13.3","19","","","24","34.5","","","","","","","","","24","21.1","","","","","","","","","",""
"2020","Miami","ACC","12.8","20","","","38","32.6","","","","","","","","","19","20.2","","","","","","","","","",""
"2020","Auburn","SEC","12.6","21","","","34","33","","","","","","","","","22","20.7","","","","","","","","","",""
"2020","USC","Big Ten","12.4","22","","","12","38","","","","","","","","","45","25.5","","","","","","","","","",""
"2020","Utah","Big 12","11.9","23","","","18","36.1","","","","","","","","","37","24.3","","","","","","","","","",""
"2020","Washington","Big Ten","11.7","24","","","43","30.9","","","","","","","","","17","19.1","","","","","","","","","",""
"2020","Arizona State","Big 12","11.4","25","","","50","30.2","","","","","","","","","14","18.9","","","","","","","","","",""
"2020","Indiana","Big Ten","11.2","26","","","31","33.6","","","","","","","","","28","22.6","","","","","","","","","",""
"2020","Michigan","Big Ten","10.7","27","","","34","33","","","","","","","","","26","22.2","","","","","","","","","",""
"2020","App State","Sun Belt","10.3","28","","","34","33","","","","","","","","","28","22.6","","","","","","","","","",""
"2020","Texas","SEC","9.7","29","","","22","34.8","","","","","","","","","42","25.2","","","","","","","","","",""
"2020","Marshall","Sun Belt","9.5","30","","","64","28.6","","","","","","","","","16","19","","","","","","","","","",""
"2020","SMU","ACC","9.2","31","","","17","36.4","","","","","","","","","60","27.3","","","","","","","","","",""
"2020","Northwestern","Big Ten","9","32","","","99","24","","","","","","","","","5","15.2","","","","","","","","","",""
"2020","West Virginia","Big 12","8.5","33","","","72","27.9","","","","","","","","","18","19.4","","","","","","","","","",""
"2020","Louisiana","Sun Belt","8.1","34","","","27","33.8","","","","","","","","","47","25.6","","","","","","","","","",""
"2020","Nebraska","Big Ten","7.7","35","","","29","33.7","","","","","","","","","53","25.9","","","","","","","","","",""
"2020","Boise State","Mountain West","6.7","36","","","33","33.1","","","","","","","","","54","26.4","","","","","","","","","",""
"2020","Coastal Carolina","Sun Belt","6.6","37","","","29","33.7","","","","","","","","","60","27.3","","","","","","","","","",""
"2020","Louisville","ACC","6.5","38","","","15","37.7","","","","","","","","","87","31.1","","","","","","","","","",""
"2020","Liberty","Conference USA","6.5","38","","","26","34.2","","","","","","","","","64","27.6","","","","","","","","","",""
"2020","UAB","American Athletic","6.3","40","","","89","24.7","","","","","","","","","13","18.7","","","","","","","","","",""
"2020","LSU","SEC","6","41","","","27","33.8","","","","","","","","","69","28.3","","","","","","","","","",""
"2020","Pittsburgh","ACC","6","41","","","89","24.7","","","","","","","","","14","18.9","","","","","","","","","",""
"2020","Purdue","Big Ten","5.9","43","","","38","32.6","","","","","","","","","57","26.8","","","","","","","","","",""
"2020","Memphis","American Athletic","5.7","44","","","22","34.8","","","","","","","","","73","29.4","","","","","","","","","",""
"2020","Tulsa","American Athletic","5.6","45","","","56","29.5","","","","","","","","","31","23.5","","","","","","","","","",""
"2020","San Diego State","Mountain West","5.3","46","","","114","20.2","","","","","","","","","4","15","","","","","","","","","",""
"2020","Ole Miss","SEC","4.8","47","","","11","38.1","","","","","","","","","99","33.2","","","","","","","","","",""
"2020","Minnesota","Big Ten","4.7","48","","","19","35.8","","","","","","","","","86","30.7","","","","","","","","","",""
"2020","Washington State","Pac-12","4.2","49","","","14","37.8","","","","","","","","","101","33.7","","","","","","","","","",""
"2020","Tulane","American Athletic","4.2","49","","","32","33.2","","","","","","","","","72","29.1","","","","","","","","","",""
"2020","Houston","Big 12","3.3","51","","","40","32.2","","","","","","","","","71","29","","","","","","","","","",""
"2020","Army","American Athletic","2.7","52","","","73","27.8","","","","","","","","","44","25.3","","","","","","","","","",""
"2020","California","ACC","2.4","53","","","47","30.6","","","","","","","","","68","28.2","","","","","","","","","",""
"2020","Troy","Sun Belt","2.3","54","","","67","28.4","","","","","","","","","52","25.8","","","","","","","","","",""
"2020","Kentucky","SEC","2.2","55","","","85","25.9","","","","","","","","","35","24.1","","","","","","","","","",""
"2020","Kansas State","Big 12","2","56","","","81","26.7","","","","","","","","","40","24.7","","","","","","","","","",""
"2020","Nevada","Mountain West","1.9","57","","","75","27.5","","","","","","","","","47","25.6","","","","","","","","","",""
"2020","TCU","Big 12","1.6","58","","","93","24.3","","","","","","","","","30","22.8","","","","","","","","","",""
"2020","Stanford","ACC","1.6","58","","","52","30","","","","","","","","","70","28.4","","","","","","","","","",""
"2020","Arkansas","SEC","1.6","58","","","66","28.5","","","","","","","","","56","26.7","","","","","","","","","",""
"2020","Buffalo","Mid-American","1.4","61","","","79","27.1","","","","","","","","","47","25.6","","","","","","","","","",""
"2020","Baylor","Big 12","1.3","62","","","86","25.6","","","","","","","","","36","24.2","","","","","","","","","",""
"2020","Virginia","ACC","0.9","63","","","69","28.3","","","","","","","","","63","27.5","","","","","","","","","",""
"2020","Tennessee","SEC","0.9","63","","","93","24.3","","","","","","","","","32","23.6","","","","","","","","","",""
"2020","Boston College","ACC","0.9","63","","","45","30.7","","","","","","","","","76","29.7","","","","","","","","","",""
"2020","Wake Forest","ACC","0.8","66","","","64","28.6","","","","","","","","","66","27.9","","","","","","","","","",""
"2020","Western Michigan","Mid-American","0.6","67","","","41","31.6","","","","","","","","","88","31.2","","","","","","","","","",""
"2020","Georgia Southern","Sun Belt","0.2","68","","","77","27.4","","","","","","","","","59","27.1","","","","","","","","","",""
"2020","San José State","Mountain West","0.1","69","","","49","30.4","","","","","","","","","83","30.4","","","","","","","","","",""
"2020","NC State","ACC","0","70","","","54","29.8","","","","","","","","","80","30","","","","","","","","","",""
"2020","Maryland","Big Ten","-0.1","71","","","73","27.8","","","","","","","","","67","28","","","","","","","","","",""
"2020","Florida Atlantic","American Athletic","-0.3","72","","","105","23.2","","","","","","","","","33","23.7","","","","","","","","","",""
"2020","Colorado","Big 12","-0.4","73","","","51","30.1","","","","","","","","","83","30.4","","","","","","","","","",""
"2020","Oregon State","Pac-12","-0.7","74","","","58","29.4","","","","","","","","","80","30","","","","","","","","","",""
"2020","Missouri","SEC","-1","75","","","103","23.4","","","","","","","","","39","24.6","","","","","","","","","",""
"2020","Georgia Tech","ACC","-1","75","","","78","27.2","","","","","","","","","65","27.8","","","","","","","","","",""
"2020","UCLA","Big Ten","-1.1","77","","","47","30.6","","","","","","","","","92","31.7","","","","","","","","","",""
"2020","Mississippi State","SEC","-1.4","78","","","88","25.4","","","","","","","","","58","26.9","","","","","","","","","",""
"2020","Central Michigan","Mid-American","-1.8","79","","","86","25.6","","","","","","","","","62","27.4","","","","","","","","","",""
"2020","Michigan State","Big Ten","-2.4","80","","","119","18.3","","","","","","","","","21","20.6","","","","","","","","","",""
"2020","South Carolina","SEC","-2.4","80","","","75","27.5","","","","","","","","","76","29.7","","","","","","","","","",""
"2020","Wyoming","Mountain West","-2.5","82","","","107","22.4","","","","","","","","","41","24.9","","","","","","","","","",""
