"Year","School","Talent"
"2022","Alabama","1016.79"
"2022","Georgia","989.76"
"2022","Ohio State","983.14"
"2022","Texas A&M","947.30"
"2022","Clemson","943.00"
"2022","Texas","887.45"
"2022","Oregon","877.93"
"2022","LSU","872.61"
"2022","Oklahoma","870.34"
"2022","Notre Dame","866.48"
"2022","USC","860.12"
"2022","Florida","856.95"
"2022","Miami","854.72"
"2022","Michigan","847.24"
"2022","Penn State","830.44"
"2022","North Carolina","812.94"
"2022","Auburn","783.87"
"2022","Florida State","780.76"
"2022","Tennessee","764.80"
"2022","South Carolina","762.63"
"2022","Washington","761.72"
"2022","Stanford","757.81"
"2022","Ole Miss","757.39"
"2022","Nebraska","752.12"
"2022","Wisconsin","744.44"
"2022","Arkansas","741.06"
"2022","Kentucky","737.33"
"2022","UCLA","733.30"
"2022","Mississippi State","725.55"
"2022","Georgia Tech","715.48"
"2022","Missouri","715.36"
"2022","TCU","712.05"
"2022","Utah","705.12"
"2022","Michigan State","693.91"
"2022","NC State","686.19"
"2022","Iowa","681.98"
"2022","Indiana","680.74"
"2022","Maryland","680.22"
"2022","Oklahoma State","670.53"
"2022","Arizona State","670.18"
"2022","Baylor","666.05"
"2022","Boston College","664.63"
"2022","West Virginia","662.57"
"2022","Texas Tech","660.31"
"2022","Pittsburgh","654.56"
"2022","Northwestern","653.48"
"2022","California","653.31"
"2022","Arizona","652.06"
"2022","Cincinnati","650.89"
"2022","Minnesota","649.43"
"2022","Purdue","646.08"
"2022","Virginia Tech","640.85"
"2022","UCF","636.16"
"2022","Oregon State","635.88"
"2022","Rutgers","631.47"
"2022","Illinois","631.46"
"2022","Vanderbilt","629.76"
"2022","Houston","629.12"
"2022","Virginia","625.94"
"2022","Louisville","625.42"
"2022","Colorado","616.28"
"2022","Duke","603.98"
"2022","SMU","598.49"
"2022","Jackson State","590.92"
"2022","Iowa State","590.43"
"2022","Syracuse","590.36"
"2022","Kansas State","584.68"
"2022","Wake Forest","575.42"
"2022","South Florida","574.32"
"2022","Kansas","574.29"
"2022","Washington State","570.94"
"2022","Florida Atlantic","550.51"
"2022","Boise State","533.92"
"2022","Memphis","533.26"
"2022","Tulane","521.86"
"2022","UTSA","515.76"
"2022","Temple","505.48"
"2022","North Texas","504.97"
"2022","Fresno State","502.26"
"2022","Toledo","498.98"
"2022","Western Kentucky","495.64"
"2022","East Carolina","494.82"
"2022","Charlotte","487.24"
"2022","Tulsa","485.87"
"2022","Southern Miss","478.97"
"2022","Louisiana Tech","473.76"
"2022","Georgia State","471.84"
"2022","Arkansas State","471.65"
"2022","South Alabama","466.34"
"2022","Texas State","464.66"
"2022","Troy","464.30"
"2022","Florida International","459.71"
"2022","Louisiana","458.15"
"2022","App State","456.66"
"2022","Akron","456.15"
"2022","Marshall","455.30"
"2022","Western Michigan","449.89"
"2022","Coastal Carolina","446.58"
"2022","UAB","443.80"
"2022","Rice","441.93"
"2022","Old Dominion","438.06"
"2022","Colorado State","431.38"
"2022","Middle Tennessee","425.43"
"2022","Hawai'i","419.54"
"2022","San José State","417.95"
"2022","Nevada","416.44"
"2022","BYU","415.19"
"2022","Bowling Green","415.08"
"2022","Georgia Southern","414.14"
"2022","Northern Illinois","409.86"
"2022","Eastern Michigan","404.10"
"2022","Miami (OH)","397.26"
"2022","Kent State","386.94"
"2022","Central Michigan","384.48"
"2022","San Diego State","372.29"
"2022","Utah State","371.37"
"2022","Buffalo","370.96"
"2022","UNLV","368.29"
"2022","Ohio","365.74"
"2022","UL Monroe","348.53"
"2022","Ball State","345.29"
"2022","New Mexico","312.79"
"2022","Alabama A&M","293.63"
"2022","Massachusetts","292.14"
"2022","Wyoming","292.03"
"2022","UTEP","289.39"
"2022","Abilene Christian","260.16"
"2022","Missouri State","251.03"
"2022","UConn","239.17"
"2022","Chattanooga","237.41"
"2022","Jacksonville State","229.74"
"2022","Northern Colorado","227.83"
"2022","Eastern Kentucky","224.82"
"2022","Florida A&M","223.82"
"2022","Grambling","221.26"
"2022","Alabama State","208.22"
"2022","Bethune-Cookman","205.68"
"2022","Sam Houston","200.06"
"2022","Tennessee State","194.56"
"2022","New Mexico State","189.37"
"2022","Northern Iowa","185.49"
"2022","Southern Illinois","183.50"
"2022","Southern","178.64"
"2022","Towson","178.36"
"2022","SE Louisiana","166.75"
"2022","Liberty","161.88"
"2022","Rhode Island","158.52"
"2022","McNeese","155.54"
"2022","North Carolina A&T","142.63"
"2022","Northwestern State","134.66"
"2022","Stephen F. Austin","130.97"
"2022","UT Martin","128.97"
"2022","Campbell","124.16"
"2022","Austin Peay","121.11"
"2022","Montana","110.64"
"2022","Portland State","110.50"
"2022","North Alabama","107.80"
"2022","James Madison","104.24"
"2022","UC Davis","103.70"
"2022","Nicholls","100.39"
"2022","Samford","100.34"
"2022","Montana State","98.27"
"2022","Sacramento State","96.08"
"2022","Youngstown State","94.39"
"2022","Duquesne","94.04"
"2022","Illinois State","92.75"
"2022","UAlbany","92.55"
"2022","Western Illinois","91.95"
"2022","Central Arkansas","82.30"
"2022","Idaho","82.22"
"2022","East Tennessee State","74.98"
"2022","Eastern Washington","73.36"
"2022","Indiana State","70.29"
"2022","Stony Brook","69.58"
"2022","Hampton","69.24"
"2022","Furman","67.63"
"2022","Elon","64.96"
"2022","Alcorn State","62.59"
"2022","Norfolk State","61.79"
"2022","Prairie View A&M","56.88"
"2022","Murray State","56.27"
"2022","Cal Poly","55.91"
"2022","Eastern Illinois","55.80"
"2022","Richmond","55.50"
"2022","Maine","54.69"
"2022","Texas Southern","54.59"
"2022","Weber State","53.15"
"2022","Southern Utah","52.58"
"2022","North Carolina Central","51.95"
"2022","South Dakota","51.92"
"2022","Mississippi Valley State","48.86"
"2022","Northern Arizona","47.14"
"2022","Tennessee Tech","43.60"
"2022","San Diego","43.29"
"2022","Incarnate Word","40.89"
"2022","Wagner","39.77"
"2022","Delaware","39.14"
"2022","Mercer","38.11"
"2022","Idaho State","37.08"
"2022","Western Carolina","35.60"
"2022","South Carolina State","35.03"
