"Year","School","Talent"
"2023","Alabama","1015.43"
"2023","Georgia","977.87"
"2023","Ohio State","974.79"
"2023","Texas A&M","925.92"
"2023","Clemson","917.88"
"2023","Texas","913.24"
"2023","LSU","899.31"
"2023","USC","896.41"
"2023","Oklahoma","884.97"
"2023","Oregon","874.74"
"2023","Notre Dame","870.70"
"2023","Miami","860.27"
"2023","Penn State","858.06"
"2023","Michigan","850.43"
"2023","Florida","845.29"
"2023","Tennessee","821.07"
"2023","North Carolina","805.63"
"2023","Auburn","770.94"
"2023","TCU","768.25"
"2023","Florida State","765.33"
"2023","Nebraska","765.20"
"2023","South Carolina","763.02"
"2023","Ole Miss","756.04"
"2023","Missouri","755.40"
"2023","UCLA","752.60"
"2023","Washington","751.12"
"2023","Michigan State","747.34"
"2023","Mississippi State","746.29"
"2023","Louisville","744.16"
"2023","Wisconsin","741.63"
"2023","Kentucky","740.54"
"2023","Arkansas","730.93"
"2023","Utah","722.55"
"2023","SMU","714.21"
"2023","Colorado","711.87"
"2023","Georgia Tech","710.85"
"2023","Stanford","710.28"
"2023","NC State","700.85"
"2023","Pittsburgh","700.42"
"2023","Texas Tech","694.26"
"2023","Iowa","692.62"
"2023","Arizona","687.01"
"2023","Maryland","685.75"
"2023","Arizona State","681.32"
"2023","California","681.14"
"2023","Baylor","678.00"
"2023","Indiana","677.57"
"2023","Purdue","671.10"
"2023","Houston","670.25"
"2023","West Virginia","666.23"
"2023","Cincinnati","663.68"
"2023","Northwestern","657.88"
"2023","UCF","653.97"
"2023","Oregon State","653.16"
"2023","Boston College","650.23"
"2023","Oklahoma State","649.79"
"2023","Minnesota","640.46"
"2023","Vanderbilt","639.88"
"2023","Virginia Tech","638.89"
"2023","Iowa State","638.87"
"2023","Rutgers","636.35"
"2023","Kansas","632.68"
"2023","Illinois","630.95"
"2023","Memphis","626.86"
"2023","South Florida","622.89"
"2023","Virginia","622.70"
"2023","Duke","620.90"
"2023","Kansas State","616.00"
"2023","Syracuse","610.75"
"2023","Wake Forest","603.68"
"2023","Florida Atlantic","582.59"
"2023","Boise State","579.88"
"2023","BYU","576.25"
"2023","UTSA","574.52"
"2023","Washington State","573.28"
"2023","Massachusetts","565.65"
"2023","East Carolina","563.94"
"2023","Fresno State","555.30"
"2023","Charlotte","554.96"
"2023","Temple","554.47"
"2023","South Alabama","545.68"
"2023","Tulane","537.70"
"2023","Tulsa","520.23"
"2023","App State","517.56"
"2023","Coastal Carolina","515.69"
"2023","San José State","513.83"
"2023","Georgia State","499.67"
"2023","Toledo","497.64"
"2023","Western Kentucky","491.26"
"2023","Middle Tennessee","487.98"
"2023","Florida International","487.50"
"2023","Arkansas State","487.40"
"2023","UConn","484.94"
"2023","Texas State","484.79"
"2023","Marshall","478.59"
"2023","Louisiana","475.45"
"2023","North Texas","474.38"
"2023","UAB","473.46"
"2023","Nevada","470.32"
"2023","Rice","466.78"
"2023","Troy","454.06"
"2023","Akron","445.02"
"2023","San Diego State","440.15"
"2023","Utah State","435.99"
"2023","Louisiana Tech","433.72"
"2023","Southern Miss","425.21"
"2023","Georgia Southern","416.69"
"2023","Colorado State","413.96"
"2023","Miami (OH)","408.16"
"2023","Hawai'i","407.77"
"2023","Ball State","403.54"
"2023","Western Michigan","401.82"
"2023","Bowling Green","397.62"
"2023","UTEP","379.64"
"2023","New Mexico State","378.99"
"2023","Eastern Michigan","377.07"
"2023","New Mexico","375.35"
"2023","Kent State","373.33"
"2023","UNLV","354.46"
"2023","Northern Illinois","352.36"
"2023","Jackson State","351.51"
"2023","Old Dominion","343.17"
"2023","Ohio","342.60"
"2023","Wyoming","338.50"
"2023","UL Monroe","336.22"
"2023","Central Michigan","332.64"
"2023","Liberty","330.29"
"2023","Florida A&M","322.74"
"2023","Abilene Christian","306.57"
"2023","Buffalo","296.09"
"2023","Sam Houston","240.42"
"2023","Missouri State","233.11"
"2023","Jacksonville State","227.27"
"2023","UT Martin","221.77"
"2023","Eastern Kentucky","214.42"
"2023","Chattanooga","201.79"
"2023","Alabama State","197.43"
"2023","James Madison","196.53"
"2023","Rhode Island","191.72"
"2023","Stony Brook","185.50"
"2023","Northern Iowa","184.63"
"2023","Stephen F. Austin","172.29"
"2023","North Alabama","163.24"
"2023","Southern","162.55"
"2023","Northwestern State","157.75"
"2023","Grambling","153.13"
"2023","Montana","149.93"
"2023","Northern Arizona","148.76"
"2023","Northern Colorado","145.36"
"2023","Tennessee State","142.51"
"2023","Alabama A&M","137.64"
"2023","Prairie View A&M","135.18"
"2023","Austin Peay","120.36"
"2023","East Tennessee State","119.73"
"2023","Montana State","119.55"
"2023","Southern Illinois","115.37"
"2023","Illinois State","114.98"
"2023","Duquesne","111.13"
"2023","Southern Utah","109.83"
"2023","Lamar","108.97"
"2023","SE Louisiana","107.19"
"2023","Morgan State","105.49"
"2023","Delaware","99.19"
"2023","Samford","97.62"
"2023","South Dakota","96.61"
"2023","Alcorn State","96.02"
"2023","Cal Poly","94.82"
"2023","Hampton","91.03"
"2023","Bethune-Cookman","89.46"
"2023","Bethune-Cookman","89.46"
"2023","North Carolina A&T","88.34"
"2023","Eastern Illinois","85.97"
"2023","Central Arkansas","84.99"
"2023","Sacramento State","83.86"
"2023","Eastern Washington","81.05"
"2023","Gardner-Webb","80.81"
"2023","Indiana State","80.56"
"2023","Murray State","80.00"
"2023","Houston Christian","78.50"
"2023","Western Illinois","78.14"
"2023","UC Davis","77.46"
"2023","Portland State","73.81"
"2023","Mercer","73.53"
"2023","Campbell","73.06"
"2023","Norfolk State","72.32"
"2023","Western Carolina","70.13"
"2023","Towson","66.95"
"2023","North Dakota State","63.21"
"2023","Elon","62.31"
"2023","UAlbany","62.15"
"2023","Youngstown State","61.05"
"2023","Weber State","59.72"
"2023","Kennesaw State","58.84"
"2023","Nicholls","57.04"
"2023","Furman","56.18"
"2023","Maine","54.85"
"2023","McNeese","53.00"
"2023","Monmouth","52.49"
"2023","Idaho","47.44"
"2023","Robert Morris","46.99"
"2023","Bryant","45.14"
"2023","Bryant","45.14"
"2023","Central Connecticut","44.75"
"2023","Fordham","42.87"
"2023","Wofford","42.55"
"2023","Tennessee Tech","34.79"
"2023","South Carolina State","33.04"
"2023","Arkansas-Pine Bluff","32.77"
"2023","Howard","31.25"
"2023","Southeast Missouri State","30.08"
"2023","Delaware State","28.74"
"2023","San Diego","26.78"
"2023","Richmond","26.51"
"2023","The Citadel","26.40"
"2023","Wagner","26.18"
"2023","Bucknell","25.64"
"2023","North Carolina Central","25.46"
"2023","South Dakota State","23.58"
"2023","Lafayette","22.41"
"2023","Butler","20.61"
"2023","Lehigh","18.70"
"2023","Sacred Heart","17.99"
"2023","Jacksonville","17.99"
"2023","Texas Southern","17.36"
"2023","St. Francis (PA)","16.89"
"2023","New Hampshire","16.21"
"2023","Charleston Southern","16.10"
"2023","Princeton","16.08"
"2023","Idaho State","14.47"
"2023","North Dakota","14.37"
"2023","Morehead State","13.50"
"2023","Pennsylvania","12.03"
"2023","Holy Cross","11.16"
"2023","Drake","10.98"
"2023","Yale","8.97"
"2023","Presbyterian","8.66"
"2023","Villanova","4.33"
"2023","Army","0.00"
"2023","Navy","0.00"
"2023","Air Force","0.00"
