"Year","School","Talent"
"2018","SE Louisiana","135.64"
"2018","Sam Houston","133.13"
"2018","Sam Houston","133.13"
"2018","Austin Peay","123.40"
"2018","Alabama State","118.68"
"2018","Duquesne","113.21"
"2018","Chattanooga","112.15"
"2018","Illinois State","109.44"
"2018","Southern Illinois","108.59"
"2018","Eastern Kentucky","107.58"
"2018","Stony Brook","106.51"
"2018","Montana State","98.98"
"2018","UT Martin","98.34"
"2018","Liberty","93.99"
"2018","Idaho","87.35"
"2018","Kennesaw State","86.45"
"2018","Portland State","85.83"
"2018","Northern Arizona","85.03"
"2018","Samford","84.29"
"2018","North Dakota State","83.68"
"2018","Towson","83.58"
"2018","Texas Southern","83.08"
"2018","Tennessee State","82.27"
"2018","Richmond","82.20"
"2018","Delaware","79.23"
"2018","Youngstown State","70.45"
"2018","Grambling","69.99"
"2018","Southeast Missouri State","69.85"
"2018","Western Illinois","66.84"
"2018","Nicholls","66.08"
"2018","Rhode Island","62.64"
"2018","Bethune-Cookman","61.90"
"2018","Furman","59.57"
"2018","Campbell","58.46"
"2018","Norfolk State","56.44"
"2018","Missouri State","53.43"
"2018","Weber State","51.74"
"2018","Charleston Southern","51.01"
"2018","Montana","49.16"
"2018","Prairie View A&M","47.10"
"2018","Stephen F. Austin","46.25"
"2018","McNeese","43.55"
"2018","Abilene Christian","43.10"
"2018","North Carolina A&T","39.98"
"2018","Florida A&M","39.57"
"2018","Murray State","37.82"
"2018","Cal Poly","37.28"
"2018","Western Carolina","35.54"
"2018","Morgan State","35.38"
"2018","East Tennessee State","35.09"
"2018","Northern Iowa","34.70"
"2018","Wagner","32.77"
"2018","UAlbany","31.53"
"2018","Butler","31.53"
"2018","North Carolina Central","31.00"
"2018","North Alabama","30.02"
"2018","The Citadel","29.01"
"2018","South Dakota State","28.73"
"2018","William & Mary","28.69"
"2018","Monmouth","28.13"
"2018","Tennessee Tech","27.77"
"2018","Princeton","27.29"
"2018","South Carolina State","27.01"
"2018","Houston Christian","26.80"
"2018","Bryant","24.33"
"2018","North Dakota","23.99"
"2018","Indiana State","23.88"
"2018","Central Arkansas","23.59"
"2018","Incarnate Word","23.03"
"2018","South Dakota","22.43"
"2018","Southern","22.25"
"2018","Delaware State","21.32"
"2018","Northwestern State","20.95"
"2018","Idaho State","20.50"
"2018","Sacramento State","20.45"
"2018","Alcorn State","20.41"
"2018","Eastern Washington","19.95"
"2018","Sacred Heart","19.62"
"2018","Maine","18.93"
"2018","Howard","17.60"
"2018","Jacksonville","17.49"
"2018","Fordham","15.33"
"2018","Jackson State","14.46"
"2018","Gardner-Webb","14.11"
"2018","Mercer","13.96"
"2018","Lamar","13.91"
"2018","Cornell","13.71"
"2018","Northern Colorado","13.41"
"2018","Stetson","13.33"
"2018","Harvard","13.33"
"2018","St. Francis (PA)","13.00"
"2018","VMI","11.90"
"2018","Southern Utah","11.84"
"2018","Drake","11.10"
"2018","Georgetown","11.10"
"2018","Robert Morris","9.24"
"2018","Arkansas-Pine Bluff","8.98"
"2018","Dayton","8.88"
"2018","Holy Cross","7.31"
"2018","Central Connecticut","7.09"
"2018","Eastern Illinois","6.75"
"2018","Lehigh","6.66"
"2018","Elon","6.66"
"2018","Marist","4.44"
"2018","Yale","3.30"
